Name;Country;LoansAdvances;AssetRepos;BankDeposits;LiabilityRepos;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;TradingLiabilities;TotalAssetes;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill
PROSPERITY BANCSHARES, INC;US;41025;519;377294;377294;1307700;176322;24227460;83;32195300;575924;18757890;3310074;698096;819068;5970838;3223670
SOOCHOW SECURITIES CO., LTD;CN;4008114;1403502;1878607;1878607;n.a.;4093571;n.a.;3627228;13773385;9324105;1660785;48278;46885;734294;3042191;21455
FINECOBANK BANCA FINECO SPA;IT;10605301;n.a.;173737;n.a.;n.a.;0;29118365;4243;31480930;11831610;18846681;142777;315987;731568;1553082;n.a.
SOUTH STATE CORP;US;426685;100517;298741;298741;706098;198684;12177100;0;15921100;688704;11372472;1083241;504201;659448;2373013;1002900
SINOLINK SECURITIES CO., LTD;CN;2765991;775647;439184;410423;335094;594700;n.a.;1962009;7177763;4694361;1314933;15923;110319;622526;2975299;6591
DONGXING SECURITIES CO LTD;CN;2246429;741860;1193701;1186371;n.a.;3699638;n.a.;1537655;11098263;4761205;1879191;7459;112551;568683;2909534;2862
BANK PERMATA TBK;ID;799575;110393;554420;340501;n.a.;164859;8861559;n.a.;11614359;1797392;7559327;37188;341171;555635;1729181;8130
WESTERN SECURITIES CO., LTD;CN;1870936;142766;1823003;1694121;329050;86202;n.a.;1876992;6955560;5250336;657331;24792;32216;526770;2538527;894
MARKETAXESS HOLDINGS, INC.;US;n.a.;n.a.;n.a.;n.a.;n.a.;97991;n.a.;n.a.;954930;362766;n.a.;207847;n.a.;519415;770091;146861
GUOYUAN SECURITIES CO LTD;CN;3487232;1155156;2121017;2106705;n.a.;1966322;n.a.;3487516;11903367;5843690;1761786;24275;183080;457823;3556091;17300
FIRST FINANCIAL BANKSHARES, INC;US;51070;3150;381356;381356;0;0;6603813;0;8262230;282604;4170699;173667;289090;397518;1227197;171565
