Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;TotalAssetes
SIGNATURE BANK;52280;0;150000;150000;3091069;1749780;40386190;935796;39150227;60;1932349;1345682;4769823;50621162
SENSHU IKEDA HOLDINGS INC;111490;NA;NA;NA;NA;1928795;45886708;7544140;36358042;47608;413845;582705;2137737;50529487
KIRABOSHI BANK, LTD;4690230;NA;2360810;4363505;98528;263017;42774555;5040359;34393663;31095;541527;671086;2662355;50515531
SENSHU IKEDA BANK LTD;6953873;NA;NA;NA;255750;1831895;46068824;7510239;36571961;47277;421932;440690;1928767;50408153
BENDIGO AND ADELAIDE BANK LIMITED;777497;138320;NA;290887;8681935;3480271;33226897;5003866;42756250;1165761;1828107;1062575;3894816;50096273
BANQUE CANTONALE VAUDOISE;1471803;246850;1551332;3310266;670316;6659781;34133443;11227019;33844246;6197;617848;1024995;3702747;49940094
SANTANDER CONSUMER USA HOLDINGS INC;NA;NA;422262;422262;2341920;36429959;NA;3168192;27767019;116828;7856458;4656555;7318620;48933529
AOZORA BANK LTD;1271196;653275;2843450;3199733;434591;6325161;30815631;5542447;26681905;176725;877728;1125649;3907617;48756349
SYNOVUS FINANCIAL CORP;650667;76642;165690;165690;2352010;1558319;38405510;1194130;36996171;555979;2050639;1948658;4941697;48203300
KOMERCNI BANKA;10811238;8785554;NA;4136953;NA;405950;36316124;13283940;28613192;431900;1945361;1454180;4802396;47625394
LIBERBANK SA;643629;NA;5881367;9347646;NA;1900894;31063467;2734703;28192692;168325;615992;872291;3498559;47123404
THE HOKKOKU BANK LTD;120570;NA;861398;9893772;599733;9614;33439780;12907360;23488474;102318;341141;601941;2214940;46892991
TCF FINANCIAL CORPORATION;735513;36273;219145;219145;2767180;2037270;34506030;1230485;34584234;1524561;1587259;1761165;5727244;46671900
THE KAGOSHIMA BANK LTD;4015630;NA;2306329;2338363;1058206;2711868;36686837;4533367;32341786;31886;443772;482484;2875161;46328281
BANCA POPOLARE DI SONDRIO SOCIETA COOPERATIVA PER AZIONI;1199182;NA;NA;4861748;NA;3150858;33496410;7143314;37221167;35034;644608;1039745;3299224;46223623
SUNCORP-METWAY LTD;786349;408044;NA;244135;1571316;11346394;26905325;4369530;40910922;NA;1761506;841678;2796140;46098616
TD BANK US HOLDING COMPANY;0;0;0;0;0;3000000;0;1772334;0;3483;1740000;1701789;34879092;46075220
THE KEIYO BANK, LTD;68795;NA;NA;NA;156394;1242;42918520;2406081;33871004;57240;440938;561794;2597102;45949615
HYAKUJUSHI BANK LTD;90092;NA;1036789;1356771;829669;2814204;37397260;6088390;26034224;54250;391785;517029;2298344;45574482
EAST WEST BANCORP, INC;3772230;865000;200000;200000;130520;904417;37358170;4317314;34420647;481776;1883704;1674726;5017625;44196100
TD AMERITRADE HOLDING CORPORATION;6212000;500000;NA;NA;NA;3594000;NA;12068000;NA;5431000;1533000;5944000;8700000;43786000
JEFFERIES GROUP LLC;11924240;11924240;9029810;9029810;NA;7551848;NA;34254763;944509;1814141;1496529;2885059;6129747;43516115
KIYO BANK;34278;NA;1485787;1485787;547958;2293174;36595585;4707811;28050866;31150;444830;667121;2026265;43497389
FIRST HORIZON CORPORATION;1115570;633165;1265270;1265270;2751140;296420;32434040;3114646;31457983;1567396;1632335;1861791;5076005;43313500
MUSASHINO BANK;47755;NA;148454;428326;1240782;112677;38730903;3495189;32676027;40248;357608;447084;2166109;42999624
BOK FINANCIAL CORPORATION;492359;8693;3804230;3804230;4631130;302979;27659720;4118981;21676244;1375247;1533442;1769140;4863926;42323700
MBANK SA;1146788;888888;264301;464844;NA;5249324;30561304;9435816;27690808;251584;1335457;1478099;4253444;41793869
ING BANK SLASKI SA - CAPITAL GROUP;255418;45159;29439;1668589;553;772362;34355924;6350001;31147298;113200;1390341;1531637;4008558;41764934
RAYMOND JAMES FINANCIAL INC;3896641;326191;200010;200010;882651;1917480;22975103;5221980;24760033;609993;1262293;7925996;6902492;40154000
BANK OF QUEENSLAND LIMITED;1862230;680534;NA;191463;NA;8052196;25754802;5470469;30891386;620743;1382565;729575;2592477;37350072
